,EIGR
Price/Earnings (TTM),
Price/Sales (TTM),12.71014
Price/Book (MRQ),2.29499
Price/Cash Flow (TTM),
5yr Low,3.53
5yr High,18.0
5yr Avg Return,-0.09158333333333331
Short Int Current Month,1666683.0
Short Int Prev Month,1824954.0
Short Int Pct of Float,0.0399254
Days to Cover,3.80329
Float,41.76171
Shares Outstanding,44.07428
Institutions Holding Shares,133.0
% Held by Institutions,0.6913769999999999
FCF Growth 5yr,0.31677557844630394
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
