,EIGR
% Above Low,0.1558
% Held by Institutions,0.6914
52-Wk Range,['3.53 - 10.02']
Annual Dividend $,
Annual Dividend %,
Ask,5.95
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,4.1
Bid Size,200.0
Closing Price,4.08
Day Change $,-0.03
Day Change %,-0.0073
Day High,4.17
Day Low,3.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.41
Ex-dividend Date,No dividend
Historical Volatility,0.845
Last (size),104.0
Last (time),1:00p ET 11/25/22
Market Cap,179.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.11
Shares Outstanding,44.1M
Short Interest,0.039900000000000005
Today's Open,4.11
Volume,91010.0
Volume 10-day Avg,235354.0
Volume Past Day,(Light)
