,VCTR
Price/Earnings (TTM),7.20313
Price/Sales (TTM),2.24146
Price/Book (MRQ),1.85291
Price/Cash Flow (TTM),5.9859
5yr Low,7.27
5yr High,43.09
5yr Avg Return,0.26391999999999993
EPS Growth 5yr,
Revenue Growth 5yr,0.2447861
Dividend Growth 5yr,
Short Int Current Month,1427615.0
Short Int Prev Month,1510847.0
Short Int Pct of Float,0.056605100000000005
Days to Cover,5.65311
Float,62.02387
Shares Outstanding,68.50983
Institutions Holding Shares,186.0
% Held by Institutions,0.8347920000000001
FCF Growth 5yr,0.34877764440816045
