,VCTR
% Above Low,0.2601
% Held by Institutions,0.8348
52-Wk Range,['22.22 - 37.35']
Annual Dividend $,1.17
Annual Dividend %,0.0405
Ask,28.56
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.2
Bid,27.96
Bid Size,700.0
Closing Price,28.0
Day Change $,-0.87
Day Change %,-0.0301
Day High,28.98
Day Low,27.86
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",4.01
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.41500000000000004
Last (size),701.0
Last (time),3:59p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.2
Prev Close,28.87
Shares Outstanding,68.5M
Short Interest,0.056600000000000004
Today's Open,28.67
Volume,495787.0
Volume 10-day Avg,289727.0
Volume Past Day,(Heavy Day)
