,LNG
Price/Earnings (TTM),
Price/Sales (TTM),1.39281
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,27.06
5yr High,182.35
5yr Avg Return,0.27098333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.6535826
Dividend Growth 5yr,
Short Int Current Month,3712846.0
Short Int Prev Month,3489342.0
Short Int Pct of Float,0.015197099999999998
Days to Cover,1.3119
Float,246.6974
Shares Outstanding,248.6594
Institutions Holding Shares,1247.0
% Held by Institutions,0.854736
FCF Growth 5yr,0.6083653460334755
