,LNG
% Below High,0.0508
% Held by Institutions,0.8547
52-Wk Range,['97.85 - 182.35']
Annual Dividend $,1.58
Annual Dividend %,0.0091
Ask,195.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,161.99
Bid Size,100.0
Change Since Close,-11.08| |(-6.40%)
Closing Price,173.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",-15.27
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.392
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,162.0
Market Cap,43.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,173.08
Shares Outstanding,248.7M
Short Interest,0.0152
Today's Open,
Volume,187.0
Volume 10-day Avg,2142052.0
Volume Past Day,(Light)
