,CUBI
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.18032786885245888
Growth 1yr High Est,-0.19160387513455324
Growth 1yr Consensus Est,-0.18596587199350606
Growth 2yr Low Est,-0.3365925058548009
Growth 2yr High Est,-0.15305892824637113
Growth 2yr Consensus Est,-0.244825717050586
Growth 5yr Low Est,0.4165047420974751
Growth 5yr High Est,0.47836053550170665
Growth 5yr Consensus Est,0.4474326387995907
Growth 5yr Actual/Est,0.45758403673657755
Growth 3yr Historic,0.5472790565501564
