,CUBI
Price/Earnings (TTM),3.73158
Price/Sales (TTM),1.44619
Price/Book (MRQ),0.83741
Price/Cash Flow (TTM),3.3344
5yr Low,8.36
5yr High,76.13
5yr Avg Return,0.3024333333333333
EPS Growth 5yr,0.34329839999999995
Revenue Growth 5yr,0.1934407
Dividend Growth 5yr,
Short Int Current Month,1517345.0
Short Int Prev Month,1492743.0
Short Int Pct of Float,0.0490029
Days to Cover,4.51794
Float,30.94191
Shares Outstanding,32.51539
Institutions Holding Shares,282.0
% Held by Institutions,0.8609220000000001
FCF Growth 5yr,0.017669585442065205
