,CUBI
% Above Low,0.1027
% Held by Institutions,0.8609
52-Wk Range,['29.21 - 76.13']
Annual Dividend $,
Annual Dividend %,
Ask,32.59
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.6
Bid,
Bid Size,
Closing Price,32.21
Day Change $,0.14
Day Change %,0.0044
Day High,32.49
Day Low,32.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.63
Ex-dividend Date,No dividend
Historical Volatility,0.557
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.73
Prev Close,32.07
Shares Outstanding,32.5M
Short Interest,0.049
Today's Open,32.3
Volume,106948.0
Volume 10-day Avg,247592.0
Volume Past Day,(Light)
