,HTLD
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.10204081632653073
Growth 1yr High Est,0.11650485436893199
Growth 1yr Consensus Est,0.10927283534773136
Growth 2yr Low Est,9.448223733937722e-05
Growth 2yr High Est,0.12346981848881389
Growth 2yr Consensus Est,0.06178215036307663
Growth 5yr Low Est,0.05104338031508896
Growth 5yr High Est,0.13474766925471485
Growth 5yr Consensus Est,0.09289552478490191
Growth 5yr Actual/Est,0.05950620145384772
Growth 3yr Historic,0.03173834431099054
