,HTLD
% Below High,0.052300000000000006
% Held by Institutions,0.5622
52-Wk Range,['12.78 - 17.59']
Annual Dividend $,0.08
Annual Dividend %,0.0048
Ask,16.8
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.6
Bid,15.5
Bid Size,1000.0
Closing Price,16.67
Day Change $,0.17
Day Change %,0.0103
Day High,16.69
Day Low,16.28
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",1.75
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.27399999999999997
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.51
Prev Close,16.5
Shares Outstanding,78.9M
Short Interest,0.032400000000000005
Today's Open,16.55
Volume,108623.0
Volume 10-day Avg,294315.0
Volume Past Day,(Light)
