,HTLD
Price/Earnings (TTM),9.50806
Price/Sales (TTM),1.72869
Price/Book (MRQ),1.56489
Price/Cash Flow (TTM),5.33217
5yr Low,12.78
5yr High,23.89
5yr Avg Return,-0.03833333333333334
EPS Growth 5yr,0.0804301
Revenue Growth 5yr,-0.0018514
Dividend Growth 5yr,0.0
Short Int Current Month,1435437.0
Short Int Prev Month,1890946.0
Short Int Pct of Float,0.032351
Days to Cover,3.85487
Float,44.36946
Shares Outstanding,78.93846
Institutions Holding Shares,250.0
% Held by Institutions,0.562158
FCF Growth 5yr,-0.4916666666666667
