,GPRE
% Below High,0.16649999999999998
% Held by Institutions,1.1005
52-Wk Range,['26.09 - 41.25']
Annual Dividend $,
Annual Dividend %,
Ask,34.81
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.7
Bid,33.95
Bid Size,600.0
Closing Price,34.38
Day Change $,0.33
Day Change %,0.0097
Day High,34.94
Day Low,33.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.92
Ex-dividend Date,No dividend
Historical Volatility,0.634
Last (size),844.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,34.05
Shares Outstanding,59.3M
Short Interest,0.15039999999999998
Today's Open,33.88
Volume,214292.0
Volume 10-day Avg,735276.0
Volume Past Day,(Light)
