,GPRE
Price/Earnings (TTM),
Price/Sales (TTM),0.57407
Price/Book (MRQ),2.11856
Price/Cash Flow (TTM),151.3085
5yr Low,3.77
5yr High,44.27
5yr Avg Return,0.23368333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.0368432
Dividend Growth 5yr,
Short Int Current Month,8611718.0
Short Int Prev Month,8974415.0
Short Int Pct of Float,0.1503873
Days to Cover,7.21277
Float,57.33108
Shares Outstanding,59.2955
Institutions Holding Shares,290.0
% Held by Institutions,1.1004859999999999
FCF Growth 5yr,0.06578563216163498
