,FNB
Price/Earnings (TTM),12.34927
Price/Sales (TTM),3.69496
Price/Book (MRQ),0.92802
Price/Cash Flow (TTM),14.13218
5yr Low,5.05
5yr High,14.92
5yr Avg Return,0.034633333333333335
EPS Growth 5yr,0.0938228
Revenue Growth 5yr,0.08159330000000001
Dividend Growth 5yr,0.0
Short Int Current Month,8905200.0
Short Int Prev Month,10716610.0
Short Int Pct of Float,0.025708799999999997
Days to Cover,3.06481
Float,347.265
Shares Outstanding,350.7844
Institutions Holding Shares,475.0
% Held by Institutions,0.775354
FCF Growth 5yr,0.38028274190520084
