,FNB
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.11570247933884303
Growth 1yr High Est,0.08730158730158744
Growth 1yr Consensus Est,0.10150203332021523
Growth 2yr Low Est,0.03933272115090297
Growth 2yr High Est,0.19328583014714407
Growth 2yr Consensus Est,0.11630927564902352
Growth 5yr Low Est,0.046528387437478363
Growth 5yr High Est,0.13073074375343108
Growth 5yr Consensus Est,0.08862956559545472
Growth 5yr Actual/Est,0.09230360046278002
Growth 3yr Historic,0.02370233050847459
