,LTH
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0833333333333333
Growth 2yr High Est,-5.777777777777778
Growth 2yr Consensus Est,-3.4305555555555554
Growth 5yr Low Est,-1.0833333333333333
Growth 5yr High Est,-5.777777777777778
Growth 5yr Consensus Est,-3.4305555555555554
Growth 5yr Actual/Est,-2.267105263157895
Growth 3yr Historic,0.0
