,LTH
Price/Earnings (TTM),
Price/Sales (TTM),1.55075
Price/Book (MRQ),1.19056
Price/Cash Flow (TTM),
5yr Low,8.75
5yr High,23.37
5yr Avg Return,-0.1097
Short Int Current Month,5182528.0
Short Int Prev Month,4682029.0
Short Int Pct of Float,0.09657310000000001
Days to Cover,7.49951
Float,166.255
Shares Outstanding,194.1887
Institutions Holding Shares,114.0
% Held by Institutions,0.856669
FCF Growth 5yr,0.19887899085443714
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
