,LTH
% Above Low,0.4594
% Held by Institutions,0.8567
52-Wk Range,['8.75 - 23.17']
Annual Dividend $,
Annual Dividend %,
Ask,13.56
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,12.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.99
Ex-dividend Date,No dividend
Historical Volatility,0.612
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.77
Shares Outstanding,194.2M
Short Interest,0.0966
Today's Open,
Volume,167525.0
Volume 10-day Avg,480848.0
Volume Past Day,(Light)
