,LAW
Price/Earnings (TTM),
Price/Sales (TTM),3.36155
Price/Book (MRQ),1.95304
Price/Cash Flow (TTM),
5yr Low,7.34
5yr High,69.41
5yr Avg Return,-0.49745000000000006
Short Int Current Month,1361024.0
Short Int Prev Month,1802431.0
Short Int Pct of Float,0.0311903
Days to Cover,2.98831
Float,53.7848
Shares Outstanding,59.03775
Institutions Holding Shares,125.0
% Held by Institutions,0.8634869999999999
FCF Growth 5yr,0.38869573555986775
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
