,LAW
% Above Low,0.058600000000000006
% Held by Institutions,0.8634999999999999
52-Wk Range,['7.34 - 40.73']
Annual Dividend $,
Annual Dividend %,
Ask,10.3
Ask Size,3500.0
B/A Ratio,0.02857142857142857
B/A Size,100x3500
Beta,
Bid,7.16
Bid Size,100.0
Change Since Close,-0.24| |(-3.09%)
Closing Price,7.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,1.1620000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,7.53
Market Cap,458.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.77
Shares Outstanding,59.0M
Short Interest,0.031200000000000002
Today's Open,
Volume,4.0
Volume 10-day Avg,440743.0
Volume Past Day,(Light)
