,JHG
% Above Low,0.3258
% Held by Institutions,0.8527
52-Wk Range,['19.09 - 45.55']
Annual Dividend $,1.56
Annual Dividend %,0.0616
Ask,45.0
Ask Size,10000.0
B/A Ratio,0.01
B/A Size,100x10000
Beta,1.5
Bid,23.01
Bid Size,100.0
Closing Price,25.31
Day Change $,0.29
Day Change %,0.0116
Day High,25.32
Day Low,24.89
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",2.63
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.42700000000000005
Last (size),778.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",9.64
Prev Close,25.02
Shares Outstanding,165.7M
Short Interest,0.0285
Today's Open,25.01
Volume,285783.0
Volume 10-day Avg,1145754.0
Volume Past Day,(Light)
