,JHG
Price/Earnings (TTM),9.63944
Price/Sales (TTM),1.73932
Price/Book (MRQ),0.98817
Price/Cash Flow (TTM),11.86754
5yr Low,11.81
5yr High,48.55
5yr Avg Return,0.0017833333333333338
EPS Growth 5yr,0.1665092
Revenue Growth 5yr,0.2213362
Dividend Growth 5yr,-0.34852690000000003
Short Int Current Month,4698484.0
Short Int Prev Month,5829974.0
Short Int Pct of Float,0.028539400000000003
Days to Cover,3.26887
Float,164.7003
Shares Outstanding,165.6579
Institutions Holding Shares,361.0
% Held by Institutions,0.852732
FCF Growth 5yr,-0.4636830836617145
