,CLVT
% Above Low,0.2013
% Held by Institutions,0.9118
52-Wk Range,['8.00 - 25.63']
Annual Dividend $,
Annual Dividend %,
Ask,30.0
Ask Size,100.0
B/A Ratio,70.0
B/A Size,7000x100
Beta,1.0
Bid,8.0
Bid Size,7000.0
Closing Price,9.61
Day Change $,-0.23
Day Change %,-0.023399999999999997
Day High,9.84
Day Low,9.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.64
Ex-dividend Date,No dividend
Historical Volatility,0.561
Last (size),462.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.84
Shares Outstanding,674.2M
Short Interest,0.0716
Today's Open,9.74
Volume,9944101.0
Volume 10-day Avg,7842778.0
Volume Past Day,(Heavy Day)
