,CLVT
Price/Earnings (TTM),
Price/Sales (TTM),2.54556
Price/Book (MRQ),1.38301
Price/Cash Flow (TTM),
5yr Low,8.0
5yr High,34.79
5yr Avg Return,0.14148000000000002
Short Int Current Month,29582298.0
Short Int Prev Month,28548397.0
Short Int Pct of Float,0.07159449999999999
Days to Cover,4.25531
Float,555.4363
Shares Outstanding,674.1888
Institutions Holding Shares,411.0
% Held by Institutions,0.9117740000000001
FCF Growth 5yr,0.9384483259783845
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
