,INTU
% Above Low,0.1565
% Held by Institutions,0.8487
52-Wk Range,['339.36 - 697.27']
Annual Dividend $,3.12
Annual Dividend %,0.0079
Ask,393.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,391.21
Bid Size,100.0
Closing Price,392.47
Day Change $,-3.38
Day Change %,-0.0085
Day High,395.83
Day Low,391.48
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",7.25
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.47600000000000003
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,110.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",54.16
Prev Close,395.85
Shares Outstanding,280.9M
Short Interest,0.0077
Today's Open,394.85
Volume,861769.0
Volume 10-day Avg,1829300.0
Volume Past Day,(Light)
