,INTU
Price/Earnings (TTM),54.16084
Price/Sales (TTM),8.66374
Price/Book (MRQ),6.73012
Price/Cash Flow (TTM),39.20867
5yr Low,150.43
5yr High,716.86
5yr Avg Return,0.23103333333333334
EPS Growth 5yr,0.1402582
Revenue Growth 5yr,0.1962021
Dividend Growth 5yr,0.14782679999999998
Short Int Current Month,2106162.0
Short Int Prev Month,2556610.0
Short Int Pct of Float,0.007719500000000001
Days to Cover,0.84415
Float,272.9096
Shares Outstanding,280.9254
Institutions Holding Shares,2084.0
% Held by Institutions,0.8486879999999999
FCF Growth 5yr,8.924103199452647
