,RES
Price/Earnings (TTM),13.52291
Price/Sales (TTM),1.42654
Price/Book (MRQ),2.5601
Price/Cash Flow (TTM),8.83605
5yr Low,1.72
5yr High,27.07
5yr Avg Return,0.0016500000000000152
EPS Growth 5yr,
Revenue Growth 5yr,0.034793500000000005
Dividend Growth 5yr,
Short Int Current Month,5908777.0
Short Int Prev Month,6432074.0
Short Int Pct of Float,0.0741265
Days to Cover,3.88396
Float,79.71211
Shares Outstanding,216.6311
Institutions Holding Shares,252.0
% Held by Institutions,0.32089399999999996
FCF Growth 5yr,1.546153705749625
