,SWCH
% Below High,0.0007000000000000001
% Held by Institutions,0.8049
52-Wk Range,['23.03 - 34.24']
Annual Dividend $,0.21
Annual Dividend %,0.0060999999999999995
Ask,34.22
Ask Size,12700.0
B/A Ratio,0.5984251968503937
B/A Size,7600x12700
Beta,0.6
Bid,34.21
Bid Size,7600.0
Day Change $,0.005
Day Change %,0.0001
Day High,34.24
Day Low,34.2
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.53
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.23800000000000002
Last (size),123.0
Last (time),3:42p ET 11/28/22
Market Cap,5.4B
"P/E Ratio (TTM, GAAP)",22.42
Prev Close,34.21
Price,34.22
Shares Outstanding,158.0M
Short Interest,0.11630000000000001
Today's Open,34.21
Volume Past Day,(Light)
