,JYNT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.55
Growth 1yr High Est,-0.31818181818181823
Growth 1yr Consensus Est,-0.43409090909090914
Growth 2yr Low Est,-0.16388888888888886
Growth 2yr High Est,0.30757575757575756
Growth 2yr Consensus Est,0.07184343434343435
Growth 5yr Low Est,-0.08194444444444443
Growth 5yr High Est,0.15378787878787878
Growth 5yr Consensus Est,0.035921717171717174
Growth 5yr Actual/Est,0.5699275362318841
Growth 3yr Historic,0.6115942028985507
