,JYNT
% Above Low,0.16030000000000003
% Held by Institutions,0.8743000000000001
52-Wk Range,['12.85 - 83.76']
Annual Dividend $,
Annual Dividend %,
Ask,16.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.2
Bid,14.3
Bid Size,200.0
Closing Price,14.91
Day Change $,-0.39
Day Change %,-0.0255
Day High,15.39
Day Low,14.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.02
Ex-dividend Date,No dividend
Historical Volatility,0.8340000000000001
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,216.6M
"P/E Ratio (TTM, GAAP)",870.91
Prev Close,15.3
Shares Outstanding,14.5M
Short Interest,0.08220000000000001
Today's Open,15.2
Volume,57703.0
Volume 10-day Avg,97394.0
Volume Past Day,(Light)
