,JYNT
Price/Earnings (TTM),870.9112
Price/Sales (TTM),2.25195
Price/Book (MRQ),6.87728
Price/Cash Flow (TTM),29.17559
5yr Low,4.67
5yr High,111.06
5yr Avg Return,0.4750833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3155141
Dividend Growth 5yr,
Short Int Current Month,1152469.0
Short Int Prev Month,1193810.0
Short Int Pct of Float,0.08220100000000001
Days to Cover,7.86604
Float,14.02014
Shares Outstanding,14.52968
Institutions Holding Shares,188.0
% Held by Institutions,0.874336
FCF Growth 5yr,-0.6275188886286603
