,SNOW
Price/Earnings (TTM),
Price/Sales (TTM),28.27539
Price/Book (MRQ),8.53165
Price/Cash Flow (TTM),
5yr Low,110.27
5yr High,429.0
5yr Avg Return,-0.08283333333333333
Short Int Current Month,11399710.0
Short Int Prev Month,11361467.0
Short Int Pct of Float,0.0397246
Days to Cover,1.77389
Float,289.8055
Shares Outstanding,320.0
Institutions Holding Shares,1190.0
% Held by Institutions,0.6773600000000001
FCF Growth 5yr,-18.554778082006557
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
