,WW
% Above Low,0.12869999999999998
% Held by Institutions,0.8176000000000001
52-Wk Range,['3.42 - 19.07']
Annual Dividend $,
Annual Dividend %,
Ask,3.97
Ask Size,1000.0
B/A Ratio,1.5
B/A Size,1500x1000
Beta,1.6
Bid,3.86
Bid Size,1500.0
Closing Price,3.86
Day Change $,-0.29
Day Change %,-0.0699
Day High,4.2
Day Low,3.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.69
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),20.0
Last (time),4:00p ET 11/28/22
Market Cap,272.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.15
Shares Outstanding,70.5M
Short Interest,0.1045
Today's Open,4.07
Volume,1728543.0
Volume 10-day Avg,1828180.0
Volume Past Day,(Average)
