,REYN
Price/Earnings (TTM),26.29421
Price/Sales (TTM),1.79371
Price/Book (MRQ),3.74449
Price/Cash Flow (TTM),18.1353
5yr Low,21.61
5yr High,36.0
5yr Avg Return,0.044033333333333334
EPS Growth 5yr,0.3169274
Revenue Growth 5yr,0.039132
Dividend Growth 5yr,
Short Int Current Month,5303421.0
Short Int Prev Month,4258932.0
Short Int Pct of Float,0.0978571
Days to Cover,8.65876
Float,54.19559
Shares Outstanding,209.8627
Institutions Holding Shares,237.0
% Held by Institutions,0.298697
FCF Growth 5yr,-2.4473811089195707
