,NDSN
% Below High,0.1317
% Held by Institutions,0.7191
52-Wk Range,['194.89 - 271.90']
Annual Dividend $,2.6
Annual Dividend %,0.011000000000000001
Ask,248.13
Ask Size,100.0
Ask close,251.68
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,220.44
Bid Size,100.0
Bid close,219.36
Change Since Close,-7.06| |(-2.99%)
Closing Price,236.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-06 00:00:00
"EPS (TTM, GAAP)",8.25
Ex-dividend,2022-08-22 00:00:00
Ex-dividend Date,08/22/22
Historical Volatility,0.28
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,229.02
Market Cap,13.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.62
Prev Close,236.08
Shares Outstanding,57.2M
Short Interest,0.0175
Today's Open,
Volume,1.0
Volume 10-day Avg,234940.0
Volume Past Day,(Light)
