,RLMD
% Above Low,0.0
% Held by Institutions,0.968
52-Wk Range,['5.05 - 38.68']
Annual Dividend $,
Annual Dividend %,
Ask,5.09
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,0.0
Bid,5.07
Bid Size,400.0
Day Change $,-0.2
Day Change %,-0.0381
Day High,5.4
Day Low,5.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.85
Ex-dividend Date,No dividend
Historical Volatility,1.722
Last (size),200.0
Last (time),12:54p ET 11/28/22
Market Cap,153.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.25
Price,5.05
Shares Outstanding,30.1M
Short Interest,0.1015
Today's Open,5.25
Volume Past Day,(Light)
