,RGNX
Price/Earnings (TTM),24.40104
Price/Sales (TTM),2.03917
Price/Book (MRQ),1.73606
Price/Cash Flow (TTM),11.51258
5yr Low,18.69
5yr High,85.1
5yr Avg Return,-0.008566666666666674
EPS Growth 5yr,
Revenue Growth 5yr,1.524295
Dividend Growth 5yr,
Short Int Current Month,2514527.0
Short Int Prev Month,2669129.0
Short Int Pct of Float,0.0628848
Days to Cover,6.20326
Float,39.97578
Shares Outstanding,43.29363
Institutions Holding Shares,261.0
% Held by Institutions,0.8643949999999999
FCF Growth 5yr,-0.01081882150296424
