,RGNX
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1872509960159363
Growth 2yr High Est,-1.2346666666666666
Growth 2yr Consensus Est,-0.7109588313413014
Growth 5yr Low Est,-0.1872509960159363
Growth 5yr High Est,-1.2346666666666666
Growth 5yr Consensus Est,-0.7109588313413014
Growth 5yr Actual/Est,-1.3117949644151594
Growth 3yr Historic,-0.4553678268560429
