,RGNX
% Above Low,0.2408
% Held by Institutions,0.8644
52-Wk Range,['18.69 - 36.35']
Annual Dividend $,
Annual Dividend %,
Ask,23.14
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,23.08
Bid Size,200.0
Day Change $,0.58
Day Change %,0.025699999999999997
Day High,23.56
Day Low,22.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.93
Ex-dividend Date,No dividend
Historical Volatility,0.633
Last (size),100.0
Last (time),12:39p ET 11/28/22
Market Cap,1.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.4
Prev Close,22.61
Price,23.19
Shares Outstanding,43.3M
Short Interest,0.0629
Today's Open,22.59
Volume Past Day,(Light)
