,JMIA
Price/Earnings (TTM),
Price/Sales (TTM),1.88315
Price/Book (MRQ),1.79425
Price/Cash Flow (TTM),
5yr Low,2.15
5yr High,69.89
5yr Avg Return,0.703725
Short Int Current Month,8578995.0
Short Int Prev Month,8386813.0
Short Int Pct of Float,0.08589549999999999
Days to Cover,2.57662
Float,6.75
Shares Outstanding,49.93853
Institutions Holding Shares,148.0
% Held by Institutions,0.19832799999999998
FCF Growth 5yr,0.2148772844186004
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
