,JMIA
% Above Low,0.1233
% Held by Institutions,0.19829999999999998
52-Wk Range,['3.65 - 14.95']
Annual Dividend $,
Annual Dividend %,
Ask,4.12
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.4
Bid,4.03
Bid Size,200.0
Closing Price,4.1
Day Change $,-0.07
Day Change %,-0.0168
Day High,4.17
Day Low,4.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.6
Ex-dividend Date,No dividend
Historical Volatility,0.998
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,408.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.17
Shares Outstanding,99.9M
Short Interest,0.0859
Today's Open,4.1
Volume,1001182.0
Volume 10-day Avg,2967990.0
Volume Past Day,(Light)
