,JACK
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.07894736842105265
Growth 1yr High Est,0.12335526315789469
Growth 1yr Consensus Est,0.022203947368421018
Growth 2yr Low Est,0.005288220551378453
Growth 2yr High Est,0.0675341469523002
Growth 2yr Consensus Est,0.03641118375183933
Growth 5yr Low Est,-0.058379281537176274
Growth 5yr High Est,-0.012197943811999679
Growth 5yr Consensus Est,-0.03528861267458797
Growth 5yr Actual/Est,0.1114387957426548
Growth 3yr Historic,0.08961894507006443
