,JACK
Price/Earnings (TTM),13.29207
Price/Sales (TTM),1.02631
Price/Book (MRQ),
Price/Cash Flow (TTM),8.76599
5yr Low,16.81
5yr High,124.53
5yr Avg Return,-0.04615
EPS Growth 5yr,0.05554630000000001
Revenue Growth 5yr,0.0599509
Dividend Growth 5yr,0.0192449
Short Int Current Month,1550101.0
Short Int Prev Month,1389421.0
Short Int Pct of Float,0.0756531
Days to Cover,5.58189
Float,20.49445
Shares Outstanding,20.78217
Institutions Holding Shares,292.0
% Held by Institutions,1.0331380000000001
FCF Growth 5yr,0.6802634245187437
