,JACK
% Above Low,0.32299999999999995
% Held by Institutions,1.0331000000000001
52-Wk Range,['54.80 - 96.87']
Annual Dividend $,1.76
Annual Dividend %,0.024300000000000002
Ask,73.97
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,70.11
Bid Size,100.0
Closing Price,72.5
Day Change $,0.55
Day Change %,0.0076
Day High,73.11
Day Low,71.34
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",5.45
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.456
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",13.29
Prev Close,71.95
Shares Outstanding,20.8M
Short Interest,0.0757
Today's Open,71.88
Volume,374372.0
Volume 10-day Avg,503922.0
Volume Past Day,(Light)
