,BWA
% Below High,0.1567
% Held by Institutions,0.9381
52-Wk Range,['31.14 - 50.09']
Annual Dividend $,0.68
Annual Dividend %,0.0161
Ask,45.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,37.0
Bid Size,100.0
Closing Price,42.24
Day Change $,0.23
Day Change %,0.0055000000000000005
Day High,42.28
Day Low,41.83
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.44
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.387
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,9.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.28
Prev Close,42.01
Shares Outstanding,234.2M
Short Interest,0.024700000000000003
Today's Open,42.08
Volume,770660.0
Volume 10-day Avg,2009718.0
Volume Past Day,(Light)
