,X
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.9477351916376306
Growth 2yr High Est,-0.5559038662486939
Growth 2yr Consensus Est,-0.7518195289431623
Growth 5yr Low Est,-0.9477351916376306
Growth 5yr High Est,-0.5559038662486939
Growth 5yr Consensus Est,-0.7518195289431623
Growth 5yr Actual/Est,-14.46332929270763
Growth 3yr Historic,-14.1938496312158
