,X
Price/Earnings (TTM),2.15109
Price/Sales (TTM),0.27097
Price/Book (MRQ),0.58023
Price/Cash Flow (TTM),1.43606
5yr Low,4.54
5yr High,47.64
5yr Avg Return,0.04388333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1459198
Dividend Growth 5yr,-0.16744679999999998
Short Int Current Month,23897419.0
Short Int Prev Month,22543675.0
Short Int Pct of Float,0.10328699999999999
Days to Cover,2.48476
Float,231.6137
Shares Outstanding,234.2689
Institutions Holding Shares,519.0
% Held by Institutions,0.7453700000000001
FCF Growth 5yr,0.37498957537320204
