,X
% Above Low,0.5527000000000001
% Held by Institutions,0.7454000000000001
52-Wk Range,['16.41 - 39.25']
Annual Dividend $,0.2
Annual Dividend %,0.0077
Ask,25.55
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.2
Bid,25.48
Bid Size,500.0
Closing Price,25.48
Day Change $,-0.37
Day Change %,-0.0143
Day High,26.49
Day Low,25.25
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",12.02
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.562
Last (size),5.0
Last (time),7:00p ET 11/28/22
Market Cap,6.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.15
Prev Close,25.85
Shares Outstanding,234.3M
Short Interest,0.1033
Today's Open,25.48
Volume,8033310.0
Volume 10-day Avg,8185073.0
Volume Past Day,(Average)
