,KR
% Above Low,0.2205
% Held by Institutions,0.7943000000000001
52-Wk Range,['40.18 - 62.78']
Annual Dividend $,1.04
Annual Dividend %,0.0212
Ask,50.16
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,0.5
Bid,48.83
Bid Size,900.0
Change Since Close,-0.21| |(-0.43%)
Closing Price,49.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.355
Last (size),700.0
Last (time),5:00p ET 11/25/22
Last Trade,48.83
Market Cap,35.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.94
Prev Close,49.04
Shares Outstanding,715.8M
Short Interest,0.0216
Today's Open,
Volume,6.0
Volume 10-day Avg,4962280.0
Volume Past Day,(Light)
