,KR
Price/Earnings (TTM),14.94092
Price/Sales (TTM),0.24352
Price/Book (MRQ),3.63598
Price/Cash Flow (TTM),6.57116
5yr Low,20.7
5yr High,62.78
5yr Avg Return,0.13803333333333334
EPS Growth 5yr,0.012296
Revenue Growth 5yr,0.0363622
Dividend Growth 5yr,0.1162884
Short Int Current Month,15349658.0
Short Int Prev Month,15762981.0
Short Int Pct of Float,0.0216161
Days to Cover,3.09926
Float,711.1119
Shares Outstanding,715.8063
Institutions Holding Shares,1400.0
% Held by Institutions,0.7943389999999999
FCF Growth 5yr,0.3924978687689949
