,RF
Next Earnings Announcement,2023-01-20 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.11570247933884292
Growth 1yr High Est,-0.17314487632508846
Growth 1yr Consensus Est,-0.1444236778319657
Growth 2yr Low Est,-0.09056152004325324
Growth 2yr High Est,0.011718160128054045
Growth 2yr Consensus Est,-0.0394216799575996
Growth 5yr Low Est,0.1080525733117067
Growth 5yr High Est,0.21527466447961147
Growth 5yr Consensus Est,0.16166361889565906
Growth 5yr Actual/Est,0.27745821901128626
Growth 3yr Historic,0.27377682677567716
