,RF
Price/Earnings (TTM),11.38185
Price/Sales (TTM),3.12073
Price/Book (MRQ),1.58136
Price/Cash Flow (TTM),9.44773
5yr Low,6.94
5yr High,25.57
5yr Avg Return,0.07001666666666667
EPS Growth 5yr,0.2358762
Revenue Growth 5yr,0.0136247
Dividend Growth 5yr,0.20982209999999998
Short Int Current Month,20226508.0
Short Int Prev Month,17168042.0
Short Int Pct of Float,0.021759
Days to Cover,3.02104
Float,929.7509
Shares Outstanding,934.4456
Institutions Holding Shares,1175.0
% Held by Institutions,0.757034
FCF Growth 5yr,0.31206361500449237
