,RF
% Below High,0.11539999999999999
% Held by Institutions,0.757
52-Wk Range,['18.01 - 25.57']
Annual Dividend $,0.8
Annual Dividend %,0.035
Ask,22.62
Ask Size,2200.0
B/A Ratio,1.5909090909090908
B/A Size,3500x2200
Beta,1.2
Bid,22.61
Bid Size,3500.0
Day Change $,-0.25
Day Change %,-0.0109
Day High,22.84
Day Low,22.54
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.01
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.369
Last (size),42.0
Last (time),12:38p ET 11/28/22
Market Cap,21.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.38
Prev Close,22.87
Price,22.62
Shares Outstanding,934.4M
Short Interest,0.0218
Today's Open,22.66
Volume Past Day,(Light)
