,OPEN
% Above Low,0.3835
% Held by Institutions,0.6476000000000001
52-Wk Range,['1.46 - 16.68']
Annual Dividend $,
Annual Dividend %,
Ask,2.02
Ask Size,100300.0
B/A Ratio,0.03090727816550349
B/A Size,3100x100300
Beta,
Bid,2.01
Bid Size,3100.0
Day Change $,-0.0501
Day Change %,-0.0242
Day High,2.03
Day Low,2.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.83
Ex-dividend Date,No dividend
Historical Volatility,1.082
Last (size),9200.0
Last (time),9:31a ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,2.07
Price,2.02
Shares Outstanding,634.2M
Short Interest,0.1226
Today's Open,2.03
Volume Past Day,(Heavy Day)
