,OPEN
Price/Earnings (TTM),
Price/Sales (TTM),0.07941
Price/Book (MRQ),0.87991
Price/Cash Flow (TTM),
5yr Low,1.46
5yr High,39.24
5yr Avg Return,-0.03520000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.8830935
Dividend Growth 5yr,
Short Int Current Month,64999077.0
Short Int Prev Month,74893124.0
Short Int Pct of Float,0.1226117
Days to Cover,1.77141
Float,537.7135
Shares Outstanding,634.2025
Institutions Holding Shares,382.0
% Held by Institutions,0.6475650000000001
FCF Growth 5yr,-0.5256969547510509
