,AEE
Price/Earnings (TTM),22.22595
Price/Sales (TTM),3.07931
Price/Book (MRQ),2.2505
Price/Cash Flow (TTM),9.67524
5yr Low,51.89
5yr High,99.2
5yr Avg Return,0.06181666666666666
EPS Growth 5yr,0.0745318
Revenue Growth 5yr,0.0102549
Dividend Growth 5yr,0.0510702
Short Int Current Month,4631697.0
Short Int Prev Month,4845795.0
Short Int Pct of Float,0.0180108
Days to Cover,2.60919
Float,257.4849
Shares Outstanding,258.5222
Institutions Holding Shares,876.0
% Held by Institutions,0.782554
FCF Growth 5yr,0.05911322371315638
