,AEE
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.0633245382585752
Growth 1yr High Est,0.05655526992287929
Growth 1yr Consensus Est,0.05993990409072725
Growth 2yr Low Est,0.06764241801266224
Growth 2yr High Est,0.0647739853264031
Growth 2yr Consensus Est,0.06620820166953267
Growth 5yr Low Est,0.0741466527933134
Growth 5yr High Est,0.07143816537109066
Growth 5yr Consensus Est,0.07279240908220203
Growth 5yr Actual/Est,0.06826697028306172
Growth 3yr Historic,0.035479744136460545
