,AEE
% Below High,0.1047
% Held by Institutions,0.7826000000000001
52-Wk Range,['73.28 - 99.20']
Annual Dividend $,2.36
Annual Dividend %,0.026600000000000002
Ask,97.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.4
Bid,75.98
Bid Size,200.0
Closing Price,88.81
Day Change $,0.67
Day Change %,0.0076
Day High,88.96
Day Low,88.38
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.222
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,23.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.23
Prev Close,88.14
Shares Outstanding,258.5M
Short Interest,0.018000000000000002
Today's Open,88.49
Volume,350012.0
Volume 10-day Avg,1256260.0
Volume Past Day,(Light)
