,WEN
Price/Earnings (TTM),25.85451
Price/Sales (TTM),2.3502
Price/Book (MRQ),10.91554
Price/Cash Flow (TTM),14.81768
5yr Low,6.82
5yr High,29.46
5yr Avg Return,0.08994999999999999
EPS Growth 5yr,0.1293805
Revenue Growth 5yr,0.05734740000000001
Dividend Growth 5yr,0.11907830000000001
Short Int Current Month,5142373.0
Short Int Prev Month,5828393.0
Short Int Pct of Float,0.026411699999999996
Days to Cover,1.92448
Float,194.7941
Shares Outstanding,213.027
Institutions Holding Shares,401.0
% Held by Institutions,0.708449
FCF Growth 5yr,2.3095508349247322
