,WEN
% Below High,0.094
% Held by Institutions,0.7084
52-Wk Range,['15.77 - 24.48']
Annual Dividend $,0.5
Annual Dividend %,0.0223
Ask,22.27
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.9
Bid,22.18
Bid Size,1000.0
Closing Price,22.18
Day Change $,-0.24
Day Change %,-0.010700000000000001
Day High,22.53
Day Low,22.15
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.87
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.311
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.85
Prev Close,22.42
Shares Outstanding,213.0M
Short Interest,0.0264
Today's Open,22.35
Volume,5048035.0
Volume 10-day Avg,2267408.0
Volume Past Day,(Heavy Day)
