,SSB
% Below High,0.0821
% Held by Institutions,0.7992
52-Wk Range,['72.26 - 93.34']
Annual Dividend $,2.0
Annual Dividend %,0.0227
Ask,85.67
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,85.58
Bid Size,100.0
Day Change $,-2.26
Day Change %,-0.025699999999999997
Day High,88.07
Day Low,85.68
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",6.23
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.313
Last (size),100.0
Last (time),3:16p ET 11/28/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.13
Prev Close,87.94
Price,85.68
Shares Outstanding,75.7M
Short Interest,0.014199999999999999
Today's Open,87.09
Volume Past Day,(Light)
