,SSB
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.036337209302325535
Growth 1yr High Est,-0.1080368906455863
Growth 1yr Consensus Est,-0.07218704997395592
Growth 2yr Low Est,0.07911646322214039
Growth 2yr High Est,0.11141730061516847
Growth 2yr Consensus Est,0.09526688191865443
Growth 5yr Low Est,0.09891074959668172
Growth 5yr High Est,0.1451540885902318
Growth 5yr Consensus Est,0.12203241909345676
Growth 5yr Actual/Est,0.13001406856517936
Growth 3yr Historic,0.09747065108792186
