,SSB
Price/Earnings (TTM),14.1265
Price/Sales (TTM),4.33512
Price/Book (MRQ),1.35231
Price/Cash Flow (TTM),12.69893
5yr Low,40.42
5yr High,94.5
5yr Avg Return,0.016600000000000014
EPS Growth 5yr,0.09912499999999999
Revenue Growth 5yr,0.2663167
Dividend Growth 5yr,0.09673870000000001
Short Int Current Month,1057570.0
Short Int Prev Month,1430617.0
Short Int Pct of Float,0.0141609
Days to Cover,3.48744
Float,74.7855
Shares Outstanding,75.69555
Institutions Holding Shares,407.0
% Held by Institutions,0.799242
FCF Growth 5yr,0.34207502268335416
